Unnamed: 0,序号,零件号,零件名称,车型项目,零件重量(KG),零件尺寸L,零件尺寸W,零件尺寸H,包装等级分类,单车用量,零件质量要求,包装袋情况,干燥剂情况
,755.0,H97A5300020CK,前围加强梁总成,97X-LC-C项目,N,1138.0,490.0,317.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,756.0,H97D3730309AB,GCU搭铁线束总成,97X-LC-C项目,N,160.0,120.0,100.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,757.0,HQY1861068T10L1,六角法兰面螺栓,97X-LC-C项目,0.062,68.0,10.0,10.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,758.0,H97D1303008BA,中通道出水软管,97X-LC-C项目,0.479,720.0,410.0,190.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,759.0,HQY38002,塑料螺母,97X-LC-C项目,0.002,28.0,28.0,11.0,C,3.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,760.0,HQY1400620,六角头螺栓和平垫圈组合件,97X-LC-C项目,0.0059,44.0,23.0,23.0,C,8.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,761.0,H97A5207003AA,左喷嘴,97X-LC-C项目,0.0029,30.0,20.0,20.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,762.0,H97D3506002AA,制动管路2号总成,97X-LC-C项目,0.104,620.0,195.0,23.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,763.0,H97A8404003AB,充电口盖挡板,97X-LC-C项目,0.044,203.0,131.0,11.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,764.0,H97C5100015CF,左门槛内板总成,97X-LC-C项目,9.469(±8%),2020.0,310.0,110.0,A,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,有
,765.0,H97A6207023AA,左后门轮眉防污条总成,97X-LC-C项目,0.185,597.0,23.0,29.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,766.0,H97A3101020AC,右后轮罩挡泥板总成,97X-LC-C项目,1,1330.0,1140.0,1050.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,767.0,H97B1303004AA,中通道进水硬管,97X-LC-C项目,0.4,2300.0,200.0,200.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,768.0,HQY2714816L2,内六角花形大半圆头自攻螺钉,97X-LC-C项目,0.01,20.0,20.0,20.0,C,76.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,769.0,Q673C23F62,钢带式弹性软管夹箍,97X-LC-C项目,0.0089,36.0,22.0,12.0,C,7.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,770.0,HQ1840612L1,六角法兰面螺栓,97X-LC-C项目,0.0056,44.0,23.0,23.0,C,28.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,771.0,H97A5016017AA,橡胶堵盖Φ20,97X-LC-C项目,0.0021,28.0,28.0,8.0,C,4.0,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,,
,772.0,HQY40210Z1,前制动软管安装垫圈,97X-LC-C项目,0.002,20.0,10.0,0.0,C,8.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,773.0,H97B5120001AB,前部下防护板,97X-LC-C项目,0.83,1700.0,757.0,50.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,774.0,H56A1300038AA,Ф20尼龙水管双管夹,97X-LC-C项目,0.029,72.0,28.0,28.0,C,7.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,775.0,H97A7909002BA,高音扬声器,97X-LC-C项目,0.149,62.0,59.0,39.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,776.0,H97A5505006AABKGB,贯穿式储物盒胶垫,97X-LC-C项目,0.179,401.0,227.0,79.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,777.0,H97C3502014AA,EPB控制器,97X-LC-C项目,0.2,146.0,117.0,35.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,778.0,H97C8107002CD,前置蒸发器流出管总成,97X-LC-C项目,0.488,938.0,583.0,378.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,779.0,H97X3727310AE,车身线束总成合件,97X-LC-C项目,N,6875.0,80.0,50.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,780.0,H97Z6105013AA,车门锁扣总成,97X-LC-C项目,0.106,62.0,47.0,35.0,C,4.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,781.0,H97E5301101AA,前围横梁组件,97X-LC-C项目,1.01(±8%),382.0,180.0,59.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,782.0,1104234-RA52,燃油管单管夹,97X-LC-C项目,0.003,22.0,20.0,14.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,783.0,HQY1841022T9N1Y,前制动软管连接螺栓,97X-LC-C项目,0.023,30.0,20.0,20.0,C,4.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,784.0,H97C3101006AA,车轮总成,97X-LC-C项目,N,760.0,255.0,760.0,B,4.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,785.0,H97E6207017AA,左后门密封条总成,97X-LC-C项目,0.4,3698.0,15.0,20.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,786.0,H97Z7903901AA,后天线电缆合件,97X-LC-C项目,0.1563,220.0,120.0,30.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,787.0,H97D7000900ACUK02,第二排座椅60%靠背合件,97X-LC-C项目,N,930.0,760.0,140.0,B,1.0,1. 核心防护：防污损、防变形、防划伤；2. 结构要求：骨架无变形，面料无破损；3. 功能要求：调节机构灵活，无卡滞；4. 外观要求：面料无污渍，缝线整齐,,
,788.0,H97B2902005AC,左前空气弹簧支柱总成,97X-LC-C项目,13.2,780.0,350.0,250.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,789.0,H37A3900002BB,随车工具总成,97X-LC-C项目,N,250.0,155.0,95.0,C,1.0,1. 核心防护：防污损、防丢失、防损坏；2. 内容要求：资料完整，无缺页、无破损；3. 外观要求：工具无锈蚀，表面无损伤；4. 完整性：数量齐全，无缺失,,
,790.0,Q215B0516,内六角花形盘头螺钉,97X-LC-C项目,0.01,25.0,6.0,6.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,791.0,H97D3730301AC,蓄电池搭铁线束,97X-LC-C项目,N,351.0,20.0,20.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,792.0,H97X6400001XA,左前门总成,97X-LC-C项目,N,1300.0,370.0,1270.0,A,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,防锈袋,有
,793.0,H97A7010004AA,中间支架盖板,97X-LC-C项目,0.088,100.0,50.0,30.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,794.0,Q673C27F62K,钢带式弹性软管夹箍-预张开式,97X-LC-C项目,0.0145,50.0,50.0,12.0,C,2.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,795.0,H97A2904016AA,前悬架右后上控制臂总成,97X-LC-C项目,0.5,280.0,50.0,50.0,C,1.0,1. 核心防护：防变形、防碰撞、防锈蚀；2. 强度要求：符合设计承载标准；3. 外观要求：无裂纹、无变形、无锈蚀；4. 性能要求：减震性能良好，无异常噪音,,
,796.0,H97A1174004AA,炭罐脱附管1,97X-LC-C项目,0.055,500.0,100.0,100.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,797.0,H56A1303069AA,四通控制阀总成,97X-LC-C项目,0.245,109.0,109.0,88.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,798.0,H97C1174002AA,炭罐脱附管3,97X-LC-C项目,0.1,675.0,433.0,330.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,799.0,H97D1109001AA,空气滤清器进气管总成,97X-LC-C项目,0.27,327.0,218.0,164.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,800.0,H97A6101042AB,右前车门防污条总成,97X-LC-C项目,0.106,1076.0,18.0,18.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,801.0,H97C1001006AA,发动机前悬置支架,97X-LC-C项目,0.45,1.0,1.0,1.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,802.0,H97C8405020AB,发动机装饰罩总成,97X-LC-C项目,3.088,1257.0,665.0,81.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,803.0,H97B1303007AA,水泵出水软管,97X-LC-C项目,0.192,500.0,100.0,230.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,804.0,H97A2941008AC,右前空气弹簧管路前段,97X-LC-C项目,0.102,2087.0,6.0,6.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,805.0,H97A2941002AA,制动管路9号总成,97X-LC-C项目,0.3,2620.0,590.0,140.0,B,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,806.0,HQY1401251T10L1U,六角法兰面螺栓和平垫圈组合件,97X-LC-C项目,0.0591,48.0,22.0,22.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,807.0,H97A5533010AA,后吹面风道前段总成,97X-LC-C项目,0.325,761.0,171.0,183.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,808.0,H97A5207009AA,前管路总成2,97X-LC-C项目,0.0538,1060.0,160.0,100.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,809.0,H97D3718021AA,行李箱右照明灯,97X-LC-C项目,0.01,68.0,25.0,18.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,810.0,H97C1203001AA,前端排气管总成,97X-LC-C项目,3.45,900.0,380.0,280.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,811.0,H97A6205008AA,右后门锁体,97X-LC-C项目,0.405,140.0,110.0,90.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,812.0,H97X5400010XA,右侧围总成,97X-LC-C项目,N,3410.0,740.0,1410.0,A,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,防锈袋,有
,813.0,HQY215B1035T10L2D,内六角花型大盘头螺栓,97X-LC-C项目,0.03,40.0,20.0,20.0,C,12.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,814.0,H97C1303141AA,中冷低温散热器出水管,97X-LC-C项目,0.091,210.0,60.0,120.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,815.0,H97E5016060AA,堵盖20*28,97X-LC-C项目,0.005,35.0,7.0,27.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,816.0,HQ18512120T10L1U,六角法兰面螺栓,97X-LC-C项目,0.121,120.0,12.0,12.0,C,1.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,817.0,H97A8402017AA,发动机罩气动撑杆,97X-LC-C项目,0.188,375.0,20.0,20.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,818.0,H97A2941012AC,右后空气弹簧管路,97X-LC-C项目,0.027,571.0,104.0,83.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,819.0,HQ1860616L,六角法兰面螺栓,97X-LC-C项目,0.0085,48.0,22.0,22.0,C,6.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,820.0,H97D3724116AA,左后门饰板线束总成,97X-LC-C项目,N,945.0,50.0,50.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,821.0,H97A3923007AB,制动液加注标签,97X-LC-C项目,0.0008,55.0,40.0,1.0,C,1.0,1. 核心防护：防磨损、防脱落、防污损；2. 内容要求：字迹清晰，信息完整准确；3. 粘贴要求：粘贴牢固，无气泡、无起翘；4. 耐久性：符合户外使用要求,,
,822.0,HQ1860850L1,六角法兰面螺栓,97X-LC-C项目,0.0266,58.0,18.0,18.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,823.0,H97A5205016AA,后雨刮电机及支架总成,97X-LC-C项目,0.616,220.0,140.0,150.0,B,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,824.0,HQY645003,制动管路三管夹,97X-LC-C项目,0.007,48.0,17.0,13.0,C,4.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,825.0,H97A5501011AA,右CCB 连接支架,97X-LC-C项目,0.205,132.0,62.0,23.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,826.0,H97A8402031AB,左前罩板铰链总成,97X-LC-C项目,1.044,260.0,160.0,80.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,827.0,H97A3716002AD,右后组合灯固定侧,97X-LC-C项目,0.9,405.0,153.0,100.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,828.0,H97Z8212010BA,前排座椅右侧安全带主体总成,97X-LC-C项目,1.753,180.0,120.0,110.0,C,1.0,1. 核心防护：防污损、防变形、防划伤；2. 结构要求：骨架无变形，面料无破损；3. 功能要求：调节机构灵活，无卡滞；4. 外观要求：面料无污渍，缝线整齐,,
,829.0,H97A3506013AA,后制动软管（右）,97X-LC-C项目,0.13,390.0,150.0,160.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,830.0,3505110-RA01,储油壶总成,97X-LC-C项目,0.13,62.0,42.0,51.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,831.0,H97D6107012AB,右前门窗台外密封条总成,97X-LC-C项目,0.323,1057.0,35.0,30.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,832.0,H97B8201008BA,内后视镜前装饰罩,97X-LC-C项目,0.052,80.0,80.0,80.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,833.0,H97D1303122AA,三通比例阀出水管总成,97X-LC-C项目,0.077,200.0,30.0,110.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,834.0,H97A5006125AA,前风窗玻璃左装饰条总成,97X-LC-C项目,0.154,853.0,30.0,41.0,C,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,,
,835.0,H97D5013006AA,前围内隔音垫,97X-LC-C项目,5.4,1452.0,749.0,140.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,836.0,HQY1470620T8X1,十字槽六角头法兰面螺栓,97X-LC-C项目,0.0068,30.0,10.0,10.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,837.0,H97A7903006AA,正极滤波器,97X-LC-C项目,0.055,252.0,39.0,30.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,838.0,H97Y1300016AA,水管支架1,97X-LC-C项目,0.098,90.0,50.0,70.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,839.0,HQY69601,子母扣,97X-LC-C项目,0.0017,23.0,20.0,20.0,C,8.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,840.0,H97D9322001BA,前舱高压盒总成,97X-LC-C项目,2,570.0,530.0,170.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,841.0,H97A1104024AA,燃油间隙管夹,97X-LC-C项目,0.003,35.0,31.0,11.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,842.0,Q673C26F62K,钢带式弹性软管夹箍-预张开式,97X-LC-C项目,0.0145,50.0,51.0,12.0,C,2.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,843.0,H97D1303045AA,三通到chiller2水管,97X-LC-C项目,0.158,460.0,110.0,80.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,844.0,HQ1840635,六角法兰面螺栓,97X-LC-C项目,0.0102,42.0,14.0,14.0,C,1.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,845.0,H97A3506007AA,制动管路7号总成,97X-LC-C项目,0.297,2640.0,725.0,155.0,B,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,846.0,HQ1841255T10L2Q,六角法兰面螺栓,97X-LC-C项目,0.0612,125.0,33.0,33.0,C,18.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,847.0,H97D3101040AAPK01,右后轮眉装饰件总成前段,97X-LC-C项目,0.199,517.0,165.0,52.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,848.0,H97A5001021AB,副仪表板中安装支架总成,97X-LC-C项目,1.005（±8%）,395.0,170.0,85.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,防锈袋,无
,849.0,H97A5207007AA,前管路总成,97X-LC-C项目,0.135,1840.0,890.0,160.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,850.0,H97D5520110AABEGA,右后侧围内饰板总成,97X-LC-C项目,2.046,1110.0,554.0,315.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,851.0,H97B2312001BA,前电机右前悬置总成,97X-LC-C项目,2.77,200.0,160.0,180.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
